title,genre,year,netflix
트랜스퍼,드라마,2017,사고로 의식을 잃었던 남자가 깨어난다. 그러나 그의 의식은 이미 다른 사람의 몸속으로 옮겨진 상황. 게다가 이 육체의 원래 주인은 이런 불법 시술을 퇴치하는 조직의 수장이었다는데. 이제 나는 누구로 어떻게 살아가야 하는가.
트레일러 파크 보이즈: 파크 탈출: 미국편,드라마 NETFLIX ORIGINAL,2017,"고삐 풀린 망아지들이 돌아왔다. 캐나다 국경 너머 남쪽으로 향하는 버블즈, 줄리안, 리키 일당. 그들의 골 때리는 미국 모험기가 시작된다."
트레일러 파크 보이즈: 파크 탈출: 유럽편,드라마 NETFLIX ORIGINAL,2016,공짜 유럽 여행에 들뜬 트레일러 파크 보이즈. 하지만 이들의 여행을 후원하는 회사에서 이들에게 조건으로 아주 특이한 미션을 내린다.
트레일러 파크 보이즈,드라마 NETFLIX ORIGINAL,2018,수상: 4 wins & 22 nominations.
터치,드라마,2012,수상: Nominated for 2 Primetime Emmys. Another 2 wins & 10 nominations.
톱 오브 더 레이크,드라마,2013,수상: Won 1 Golden Globe. Another 19 wins & 65 nominations.
Top Boy,드라마,2013,수상: 2 wins & 5 nominations.
통 메모리즈,드라마,2016,한 성격 하는 거친 상남자 고등학생. 일진에게 가차 없는 그가 부산 주먹의 전설이 되는 이야기.
도쿄재판,드라마,2017,2차대전이 끝나자 연합군 판사들을 기다리던 새로운 숙제. 강도 높은 국제재판에서 일본 전범들의 운명을 결정해야 한다.
도쿄 구울,드라마,2018,수상: 1 win.
"치, 제삼자",드라마,2015,"한 명의 남자와 두 명의 여자. 사이좋은 단짝 친구로 시작했지만, 빠져나올 수 없는 삼각관계에 갇혀버린다. 셋은 험난한 운명의 파도를 넘어 원하는 사랑을 얻을 수 있을까."
타이탄,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 5 nominations.
타임리스,드라마,2018,수상: 7 nominations.
칼리프: 나는 무죄다,드라마 NETFLIX ORIGINAL,2017,수상: 2 wins & 3 nominations.
하신,드라마,2017,"하천을 둘러싸고 기괴한 일이 잇달아 벌어진다. 모든 단서가 향하는 그곳을 향해서, 오랜 세월 묻혔던 그 일을 파헤치는 사람들. 과연 우리는 진실을 마주할 각오가 됐는가."
타이드랜드,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 3 nominations.
사랑하는 은동아,드라마,2015,사라진 첫사랑을 애타게 그리며 살아가는 최고의 배우. 첫사랑과의 재회를 꿈꾸며 그녀에 대한 기억을 담은 자서전을 쓰기로 한다.
그 해는 행복했다,드라마,2009,수상: 4 nominations.
꼴찌 마녀 밀드레드,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 1 nomination.
세계에서 가장 경이로운 집,드라마 NETFLIX ORIGINAL,2019,숨이 턱 막힌다. 입은 떡 벌어진다. 경이로운 집을 찾아 떠나는 두 번째 세계 여행. 건축가 피어스 테일러와 배우 캐럴라인 쿠엔틴이 뽑은 베스트 하우스는 어디일까?
작업의 고수 PS남,드라마,2010,사랑스러운 아만다와 불같은 샤오쳰 사이에서 고민하는 바람둥이 허지예 앞에 거만한 성격의 청언이 라이벌로 등장해 새로운 고민을 안겨준다.
더 윈저스,드라마,2017,수상: 1 win & 1 nomination.
후 워즈? 쇼: 롤모델을 찾아라,드라마 NETFLIX ORIGINAL,2018,수상: 1 win & 3 nominations.
켄 번스: 전쟁,드라마,2007,7부작 시리즈 다큐멘터리. 전형적인 미국 소도시의 군인들과 다른 사람들의 참혹한 개인적 이야기를 통해 세계 2차대전을 재조명한다.
